Cell,Cell_cluster
20:42,4
20:43,4
20:44,4
20:45,4
20:46,4
20:47,4
21:41,4
21:42,4
21:43,4
21:44,4
21:45,4
21:46,4
21:47,4
21:48,4
21:49,4
21:50,4
21:51,4
21:52,4
21:53,4
21:54,4
21:55,4
21:56,4
21:57,3
22:39,4
22:40,4
22:41,1
22:42,4
22:43,4
22:44,4
22:45,1
22:46,1
22:47,3
22:48,14
22:49,14
22:50,14
22:51,14
22:52,14
22:53,14
22:54,14
22:55,3
22:56,12
22:57,17
22:58,12
22:59,19
22:61,11
22:67,2
23:38,4
23:39,4
23:40,4
23:41,4
23:42,4
23:43,4
23:44,4
23:45,4
23:46,4
23:47,4
23:48,4
23:49,1
23:50,1
23:51,1
23:52,1
23:53,1
23:54,3
23:55,3
23:56,17
23:62,6
24:48,4
24:49,4
24:50,14
24:51,1
24:52,14
24:53,3
24:54,2
24:55,2
24:56,3
24:57,14
25:49,4
25:50,1
25:51,14
25:52,14
25:53,17
25:54,14
25:55,17
25:56,1
25:58,4
25:59,4
25:68,18
25:75,15
26:51,1
26:52,1
26:53,12
26:54,14
26:55,3
26:56,3
26:57,19
26:58,19
26:59,13
26:63,13
26:78,3
27:52,4
27:53,17
27:54,3
27:55,14
27:56,3
27:57,12
27:58,19
27:62,13
27:63,5
27:65,5
27:66,5
27:70,9
27:75,14
28:52,4
28:53,14
28:54,3
28:55,14
28:56,3
28:57,3
28:59,6
28:61,6
28:64,6
28:70,16
28:74,7
29:52,4
29:53,4
29:54,1
29:55,4
29:56,4
29:62,3
29:63,1
30:52,4
30:53,4
30:54,4
30:55,4
30:59,4
30:60,4
30:61,4
30:62,4
30:63,4
30:69,1
31:52,4
31:53,4
31:54,4
31:55,4
20:41,4
22:64,12
23:57,14
23:61,11
23:67,15
24:58,3
24:66,9
25:72,20
26:65,5
26:70,9
27:76,3
28:58,11
29:58,12
30:56,4
23:58,12
23:59,12
23:60,11
24:60,17
25:69,9
26:64,5
26:74,15
26:77,12
27:59,13
27:73,16
29:74,1
24:65,9
24:71,16
25:63,4
25:66,9
25:71,16
25:74,17
26:62,19
26:76,15
27:60,13
27:72,20
27:74,2
28:62,11
28:66,11
28:73,20
28:76,14
29:59,19
29:68,1
20:40,4
22:60,11
23:66,15
24:59,3
25:73,15
27:61,13
27:68,6
27:78,17
28:63,6
29:57,4
29:72,10
21:65,4
23:63,9
23:69,2
25:65,9
25:67,6
26:60,13
21:40,4
21:58,4
21:59,4
21:60,4
21:61,4
21:62,4
21:63,4
21:64,4
21:67,4
21:68,3
21:69,4
22:62,12
22:63,12
22:65,17
22:66,2
22:68,17
22:69,2
22:70,17
22:71,1
22:72,4
23:64,11
23:65,15
23:68,2
23:70,15
23:71,20
23:72,10
23:73,4
23:74,4
24:61,17
24:62,17
24:63,12
24:64,5
24:67,8
24:68,8
24:69,2
24:70,15
24:72,15
24:73,15
24:74,1
24:75,4
24:76,4
24:77,4
25:57,4
25:60,4
25:61,4
25:62,4
25:64,5
25:70,9
25:76,12
25:77,12
25:78,1
26:61,13
26:66,5
26:67,9
26:68,9
26:69,9
26:71,9
26:72,10
26:73,15
26:75,15
26:79,4
27:64,5
27:67,6
27:69,6
27:71,16
27:77,15
27:79,4
27:80,4
27:81,4
28:60,6
28:65,11
28:67,15
28:68,12
28:69,15
28:71,16
28:72,16
28:75,1
28:77,1
28:78,4
28:80,4
28:82,4
29:60,12
29:61,13
29:64,1
29:65,4
29:66,4
29:67,4
29:69,3
29:70,10
29:71,10
29:73,7
29:75,4
30:70,7
30:71,7
30:72,4
30:73,4
30:74,4
31:69,4
31:70,4
31:71,4
31:72,4
31:73,4
32:52,4
28:81,4
32:53,4
27:82,4
