Cell,Cell_cluster
20:40,1
20:41,1
20:42,2
20:43,1
20:44,1
20:45,1
20:46,2
20:47,1
21:40,1
21:41,4
21:42,4
21:43,4
21:44,4
21:45,4
21:46,4
21:47,4
21:48,4
21:49,4
21:50,2
21:51,2
21:52,2
21:53,3
21:54,2
21:55,2
21:56,2
21:57,3
21:58,2
21:59,2
21:60,2
21:61,2
21:62,1
21:63,2
21:64,2
21:65,2
21:67,3
21:68,3
21:69,2
22:39,2
22:40,4
22:41,4
22:42,4
22:43,4
22:44,4
22:45,4
22:46,4
22:47,4
22:48,4
22:49,4
22:50,4
22:51,4
22:52,4
22:53,3
22:54,3
22:55,3
22:56,3
22:57,3
22:58,3
22:59,3
22:60,3
22:61,3
22:62,3
22:63,3
22:64,3
22:65,3
22:66,3
22:67,3
22:68,3
22:69,3
22:70,3
22:71,3
22:72,1
23:38,3
23:39,4
23:40,4
23:41,4
23:42,4
23:43,1
23:44,3
23:45,4
23:46,4
23:47,4
23:48,4
23:49,4
23:50,3
23:51,3
23:52,3
23:53,3
23:54,3
23:55,3
23:56,3
23:57,3
23:58,3
23:59,3
23:60,3
23:61,3
23:62,3
23:63,3
23:64,3
23:65,3
23:66,3
23:67,3
23:68,3
23:69,3
23:70,3
23:71,3
23:72,3
23:73,3
23:74,1
24:48,3
24:49,3
24:50,3
24:51,3
24:52,3
24:53,3
24:54,3
24:55,3
24:56,3
24:57,3
24:58,3
24:59,3
24:60,3
24:61,3
24:62,3
24:63,3
24:64,3
24:65,3
24:66,3
24:67,3
24:68,3
24:69,3
24:70,3
24:71,3
24:72,3
24:73,3
24:74,3
24:75,3
24:76,3
24:77,2
25:49,3
25:50,3
25:51,3
25:52,3
25:53,3
25:54,3
25:55,3
25:56,3
25:57,1
25:58,2
25:59,2
25:60,2
25:61,2
25:62,2
25:63,3
25:64,3
25:65,3
25:66,3
25:67,3
25:68,3
25:69,3
25:70,3
25:71,3
25:72,3
25:73,3
25:74,3
25:75,3
25:76,4
25:77,4
25:78,4
26:51,3
26:52,3
26:53,3
26:54,3
26:55,3
26:56,3
26:57,3
26:58,3
26:59,3
26:60,3
26:61,3
26:62,3
26:63,3
26:64,3
26:65,3
26:66,3
26:67,3
26:68,3
26:69,3
26:70,3
26:71,3
26:72,3
26:73,3
26:74,3
26:75,3
26:76,3
26:77,4
26:78,4
26:79,4
27:52,3
27:53,3
27:54,3
27:55,3
27:56,3
27:57,3
27:58,3
27:59,3
27:60,3
27:61,3
27:62,3
27:63,3
27:64,3
27:65,3
27:66,3
27:67,3
27:68,3
27:69,3
27:70,3
27:71,3
27:72,3
27:73,3
27:74,3
27:75,3
27:76,4
27:77,4
27:78,4
27:79,2
27:80,1
27:81,1
27:82,1
28:52,4
28:53,3
28:54,3
28:55,3
28:56,3
28:57,3
28:58,3
28:59,3
28:60,3
28:61,3
28:62,3
28:63,3
28:64,3
28:65,3
28:66,3
28:67,3
28:68,3
28:69,3
28:70,3
28:71,3
28:72,3
28:73,3
28:74,4
28:75,4
28:76,4
28:77,4
28:78,1
28:80,1
28:81,1
28:82,1
29:52,5
29:53,4
29:54,3
29:55,5
29:56,3
29:57,2
29:58,3
29:59,3
29:60,3
29:61,3
29:62,3
29:63,3
29:64,3
29:65,2
29:66,2
29:67,3
29:68,3
29:69,3
29:70,3
29:71,3
29:72,3
29:73,3
29:74,4
29:75,3
30:52,5
30:53,5
30:54,5
30:55,5
30:56,1
30:59,2
30:60,4
30:61,4
30:62,4
30:63,2
30:69,3
30:70,3
30:71,3
30:72,4
30:73,4
30:74,3
31:52,5
31:53,2
31:54,1
31:55,5
31:69,1
31:70,2
31:71,3
31:72,4
31:73,2
32:52,1
32:53,1
