Weekend,Pickup_hour,Pickup_minute,Zone,Number_trips
FALSE,0,0,Gramercy,1299
FALSE,0,0,Upper East Side South,1117
FALSE,0,0,Flatiron,1444
FALSE,0,0,Meatpacking/West Village West,531
FALSE,0,0,UN/Turtle Bay South,384
FALSE,0,0,East Village,1786
FALSE,0,0,Garment District,1118
FALSE,0,0,East Harlem North,524
FALSE,0,0,TriBeCa/Civic Center,724
FALSE,0,0,Times Sq/Theatre District,3247
FALSE,0,0,Lincoln Square East,1754
FALSE,0,0,Midtown Center,1852
FALSE,0,0,Hudson Sq,406
FALSE,0,0,Upper East Side North,677
FALSE,0,0,Greenwich Village North,1006
FALSE,0,0,West Village,2070
FALSE,0,0,East Harlem South,545
FALSE,0,0,Lower East Side,1412
FALSE,0,0,Union Sq,1087
FALSE,0,0,Upper West Side South,675
FALSE,0,0,Lincoln Square West,130
FALSE,0,0,Murray Hill,1524
FALSE,0,0,Midtown East,1364
FALSE,0,0,Manhattan Valley,320
FALSE,0,0,Central Harlem,639
FALSE,0,0,SoHo,570
FALSE,0,0,Central Harlem North,263
FALSE,0,0,West Chelsea/Hudson Yards,392
FALSE,0,0,Hamilton Heights,135
FALSE,0,0,Little Italy/NoLiTa,783
FALSE,0,0,Greenwich Village South,1167
FALSE,0,0,East Chelsea,1222
FALSE,0,0,Sutton Place/Turtle Bay North,760
FALSE,0,0,Clinton West,340
FALSE,0,0,Two Bridges/Seward Park,50
FALSE,0,0,Stuy Town/Peter Cooper Village,41
FALSE,0,0,Yorkville East,136
FALSE,0,0,Kips Bay,404
FALSE,0,0,Clinton East,1200
FALSE,0,0,Morningside Heights,458
FALSE,0,0,Penn Station/Madison Sq West,1949
FALSE,0,0,World Trade Center,120
FALSE,0,0,Midtown South,1316
FALSE,0,0,Manhattanville,127
FALSE,0,0,Yorkville West,582
FALSE,0,0,Lenox Hill West,730
FALSE,0,0,Lenox Hill East,380
FALSE,0,0,Washington Heights South,185
FALSE,0,0,Midtown North,680
FALSE,0,0,Upper West Side North,539
FALSE,0,0,Washington Heights North,72
FALSE,0,0,Financial District North,281
FALSE,0,0,Inwood,22
FALSE,0,0,Alphabet City,112
FALSE,0,0,Battery Park City,190
FALSE,0,0,Bloomingdale,60
FALSE,0,0,Chinatown,37
FALSE,0,0,Financial District South,146
FALSE,0,0,Seaport,33
FALSE,0,0,Inwood Hill Park,2
